"Chr.x"	"Start.x"	"End.x"	"Peak Score.x"	"Chr.y"	"Start.y"	"End.y"	"Peak Score.y"
"chr8"	57486980	57487980	59	"chr8"	57486326	57487326	140
"chr17"	56303324	56304324	88	"chr17"	56304070	56305070	184
"chr17"	56303324	56304324	88	"chr17"	56304070	56305070	184
"chr4"	138304666	138305666	95	"chr4"	138303752	138304752	52
"chr19"	6046453	6047453	148	"chr19"	6045602	6046602	118
"chr19"	6046453	6047453	148	"chr19"	6045602	6046602	118
"chr16"	84835169	84836169	84	"chr16"	84834162	84835162	70
"chr7"	35555251	35556251	77	"chr7"	35554569	35555569	94
"chr2"	25271740	25272740	57	"chr2"	25271274	25272274	56
"chr2"	73910643	73911643	114	"chr2"	73911163	73912163	62
"chr2"	73910643	73911643	114	"chr2"	73910139	73911139	71
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456389"	10142	11142	526	"chr8"	107096288	107097288	100
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr8"	69183561	69184561	123
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chr17"	57010546	57011546	148	"chr17"	57011289	57012289	148
"chr5"	23843180	23844180	205	"chr5"	23843910	23844910	108
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr8"	69183561	69184561	123
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr10"	18196841	18197841	88
"chrUn_GL456389"	10142	11142	526	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456389"	10142	11142	526	"chr10"	18196841	18197841	88
"chrUn_GL456389"	10142	11142	526	"chr8"	69183561	69184561	123
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chr7"	127745336	127746336	132	"chr7"	127745893	127746893	55
"chr7"	127745336	127746336	132	"chr7"	127744663	127745663	103
"chr12"	106010214	106011214	142	"chr12"	105962619	105963619	87
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr8"	107096288	107097288	100
"chrUn_GL456389"	10142	11142	526	"chr8"	69183561	69184561	123
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr10"	18196841	18197841	88
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456389"	10142	11142	526	"chr8"	69183561	69184561	123
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr10"	18196841	18197841	88
"chrUn_GL456389"	10142	11142	526	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chr19"	6117917	6118917	88	"chr19"	6117252	6118252	80
"chr11"	6625719	6626719	114	"chr11"	6624866	6625866	84
"chr5"	33273838	33274838	161	"chr5"	33274439	33275439	93
"chr5"	33273838	33274838	161	"chr5"	33274875	33275875	77
"chr17"	34951624	34952624	186	"chr17"	34952310	34953310	96
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr8"	107096288	107097288	100
"chrUn_GL456389"	10142	11142	526	"chr10"	18196841	18197841	88
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr8"	69183561	69184561	123
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chr4"	101647459	101648459	184	"chr4"	101646938	101647938	103
"chr4"	101647459	101648459	184	"chr4"	101646938	101647938	103
"chr18"	38250078	38251078	182	"chr18"	38249481	38250481	65
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr8"	69183561	69184561	123
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr10"	18196841	18197841	88
"chrUn_GL456389"	10142	11142	526	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chr4"	133967211	133968211	118	"chr4"	133928863	133929863	52
"chr4"	133967211	133968211	118	"chr4"	133966488	133967488	125
"chr11"	95413881	95414881	105	"chr11"	95414626	95415626	71
"chr8"	88362030	88363030	86	"chr8"	88361172	88362172	85
"chr3"	90432766	90433766	122	"chr3"	90433533	90434533	122
"chr9"	72662205	72663205	76	"chr9"	72661511	72662511	83
"chr14"	64440474	64441474	69	"chr14"	64439784	64440784	143
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456389"	10142	11142	526	"chr10"	18196841	18197841	88
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr8"	69183561	69184561	123
"chrUn_GL456389"	10142	11142	526	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chr1"	71102974	71103974	182	"chr1"	71101976	71102976	175
"chr6"	38534675	38535675	115	"chr6"	38533634	38534634	74
"chr6"	38534675	38535675	115	"chr6"	38534012	38535012	62
"chr6"	38534675	38535675	115	"chr6"	38532886	38533886	74
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456389"	10142	11142	526	"chr8"	69183561	69184561	123
