"Chr"	"Start"	"End"	"Peak Score"
"chr1"	23382068	23383068	111
"chr1"	23382068	23383068	111
"chr19"	9899458	9900458	87
"chr19"	9898623	9899623	207
"chr7"	44572486	44573486	56
"chr18"	56708098	56709098	105
"chr18"	56707585	56708585	143
"chr18"	56755721	56756721	86
"chr9"	37551724	37552724	69
"chr12"	105032475	105033475	89
"chr4"	124936061	124937061	142
"chr1"	75218232	75219232	59
"chr1"	75218782	75219782	170
"chr2"	91096349	91097349	84
"chr2"	91096881	91097881	75
"chr1"	128358646	128359646	135
"chr1"	128357780	128358780	70
"chr6"	88074996	88075996	56
"chr6"	88074517	88075517	88
"chr6"	88084371	88085371	155
"chr9"	114780318	114781318	73
"chr9"	114780318	114781318	73
"chr9"	114774419	114775419	68
"chr10"	43579276	43580276	56
"chr10"	43580050	43581050	69
"chr2"	125247654	125248654	106
"chr1"	189687372	189688372	50
"chr1"	189688099	189689099	76
"chr2"	152847860	152848860	233
"chr13"	52583853	52584853	141
"chr13"	52596755	52597755	114
"chr5"	30666746	30667746	132
"chr14"	76505758	76506758	60
"chr14"	76414666	76415666	55
"chr14"	76504743	76505743	113
"chr13"	100775239	100776239	167
"chr13"	100775239	100776239	167
"chr19"	6980225	6981225	94
"chr10"	79874255	79875255	42
"chr2"	25223410	25224410	71
"chr5"	115844908	115845908	123
"chr5"	115844338	115845338	150
"chr5"	115799151	115800151	123
"chr17"	35837248	35838248	235
"chr13"	28949429	28950429	67
"chr13"	28949429	28950429	67
"chr12"	102438929	102439929	171
"chr5"	145139251	145140251	171
"chr6"	131387278	131388278	172
"chr6"	72380152	72381152	95
"chr6"	72379695	72380695	92
"chr6"	72380152	72381152	95
"chr14"	30549126	30550126	142
"chr2"	35336130	35337130	145
"chr11"	117849161	117850161	65
"chr11"	117848415	117849415	135
"chr3"	129878204	129879204	68
"chr3"	129878640	129879640	49
"chr7"	44868706	44869706	84
"chr1"	131638326	131639326	133
"chr5"	147399095	147400095	132
"chr5"	147399095	147400095	132
"chr11"	24049054	24050054	144
"chr16"	90220716	90221716	124
"chr16"	90220716	90221716	124
"chr13"	47104761	47105761	189
"chr16"	18247263	18248263	66
"chr16"	18247878	18248878	102
"chr9"	72438046	72439046	194
"chr9"	72448949	72449949	126
"chr8"	120668144	120669144	121
"chr11"	104581384	104582384	93
"chr12"	111442256	111443256	68
"chr10"	30199507	30200507	153
"chr6"	89643600	89644600	53
"chr6"	89644201	89645201	99
"chr2"	26586480	26587480	86
"chr19"	3935116	3936116	149
"chr3"	135212516	135213516	132
"chr15"	82243788	82244788	81
"chr8"	27260075	27261075	60
"chr11"	78984070	78985070	70
"chr11"	106313895	106314895	86
"chr10"	127063398	127064398	147
"chr5"	138170642	138171642	101
"chr5"	138170642	138171642	101
"chr4"	40278998	40279998	169
"chr7"	24593421	24594421	75
"chr7"	24593421	24594421	75
"chr13"	41016066	41017066	153
"chr6"	51467899	51468899	104
"chr6"	51467899	51468899	104
"chr4"	117182038	117183038	171
"chr4"	117189084	117190084	198
"chr14"	55540178	55541178	147
"chr14"	55540178	55541178	147
"chr2"	127133375	127134375	169
"chr2"	127133375	127134375	169
"chr2"	172369999	172370999	163
"chr9"	21615856	21616856	84
"chr9"	21615214	21616214	132
"chr19"	6974144	6975144	155
"chr7"	101310212	101311212	134
"chr4"	116627016	116628016	147
"chr4"	116626072	116627072	123
"chr8"	120588377	120589377	215
"chr5"	125340156	125341156	56
"chr10"	37138244	37139244	90
"chr17"	29360879	29361879	75
"chr6"	6577878	6578878	190
"chr10"	80406211	80407211	118
"chr8"	120736319	120737319	77
"chr5"	30072947	30073947	107
"chr1"	86358023	86359023	124
"chr1"	86358671	86359671	76
"chr15"	79141130	79142130	141
"chr8"	84871844	84872844	38
"chr1"	131096197	131097197	82
"chr1"	131097193	131098193	67
"chr1"	131096751	131097751	119
"chr11"	72041698	72042698	118
"chr11"	72042285	72043285	66
"chr11"	53430009	53431009	145
"chr13"	54302689	54303689	56
"chr11"	51619597	51620597	107
"chr8"	84902579	84903579	133
"chr8"	84902579	84903579	133
"chr5"	129787389	129788389	157
"chr15"	102296053	102297053	140
"chr7"	4752354	4753354	76
"chr4"	136172006	136173006	178
"chr2"	156143540	156144540	148
"chr16"	33966440	33967440	167
"chr16"	33966440	33967440	167
"chr16"	34095231	34096231	91
"chr4"	118437102	118438102	58
"chr4"	118436624	118437624	144
"chr16"	4718286	4719286	73
"chr1"	139454502	139455502	57
"chr1"	139455076	139456076	57
"chr1"	139454502	139455502	57
"chr8"	84846895	84847895	65
"chr8"	84845743	84846743	117
"chr4"	132344776	132345776	114
"chr1"	91180784	91181784	65
"chr5"	115157006	115158006	67
"chr11"	69036786	69037786	92
"chr11"	69045731	69046731	142
"chr11"	69040206	69041206	88
"chr11"	69039553	69040553	52
"chr8"	116920635	116921635	77
"chr14"	47417552	47418552	175
"chr4"	150913658	150914658	100
"chr4"	150908990	150909990	74
"chr4"	150914351	150915351	118
"chr12"	113140133	113141133	83
"chr17"	46496336	46497336	95
"chr9"	107985169	107986169	59
"chr3"	9608356	9609356	66
"chr12"	87266079	87267079	123
"chr12"	87266079	87267079	123
"chr7"	45433574	45434574	142
"chr8"	94532922	94533922	71
"chr8"	94532218	94533218	46
"chr6"	125313227	125314227	84
"chr7"	127259860	127260860	150
"chr7"	127254088	127255088	45
"chr7"	127253558	127254558	92
"chr7"	127253558	127254558	92
"chr11"	93967413	93968413	183
"chr17"	45594768	45595768	138
"chr5"	100571044	100572044	126
"chr5"	100569964	100570964	97
"chr3"	36570997	36571997	82
"chr5"	66661024	66662024	73
"chrX"	155337725	155338725	63
"chr2"	150909398	150910398	151
"chr10"	80432263	80433263	49
"chr10"	80432895	80433895	101
"chr11"	3538542	3539542	78
"chr7"	16386968	16387968	150
"chr17"	45573201	45574201	60
"chr17"	45572136	45573136	142
"chr5"	115348349	115349349	54
"chr5"	115347899	115348899	53
"chr5"	115348868	115349868	70
"chr19"	47854823	47855823	91
"chr3"	108283143	108284143	91
"chr3"	108283807	108284807	49
"chr11"	69838220	69839220	144
"chr8"	116921501	116922501	128
"chr5"	33821107	33822107	73
"chr5"	33819615	33820615	67
"chr5"	99905984	99906984	90
"chrX"	136244919	136245919	138
"chr4"	149136727	149137727	121
"chr15"	99074445	99075445	144
"chr15"	99074445	99075445	144
"chr15"	81871225	81872225	170
"chr6"	128437584	128438584	111
"chr6"	128437584	128438584	111
"chr2"	84936793	84937793	74
"chr4"	135271667	135272667	131
"chr4"	135271092	135272092	75
"chr4"	134510947	134511947	78
"chr19"	46337956	46338956	189
"chr6"	124320932	124321932	129
"chr10"	93888749	93889749	147
"chr12"	110706414	110707414	63
"chr11"	50224261	50225261	88
"chr11"	50224261	50225261	88
"chr6"	47593844	47594844	120
"chr6"	47593844	47594844	120
"chrX"	109012734	109013734	57
"chr19"	37376493	37377493	117
"chr4"	46450987	46451987	59
"chr15"	81729180	81730180	114
"chr8"	71537249	71538249	153
"chr13"	55329129	55330129	63
"chr13"	55329764	55330764	46
"chr18"	69344227	69345227	165
"chr18"	69593183	69594183	81
"chr18"	69570447	69571447	167
"chr12"	112620145	112621145	51
"chr12"	113156094	113157094	59
"chr1"	180568864	180569864	147
"chr11"	115563582	115564582	156
"chr11"	115564163	115565163	137
"chr5"	134582546	134583546	216
"chr19"	37434773	37435773	51
"chr19"	37447687	37448687	53
"chr5"	121451499	121452499	169
"chr9"	59539314	59540314	82
"chr3"	88081672	88082672	128
"chr7"	30625513	30626513	208
"chr19"	46356614	46357614	128
"chr10"	79787911	79788911	102
"chr11"	69605385	69606385	49
"chr9"	106247606	106248606	72
"chr9"	106247146	106248146	170
"chr11"	6443491	6444491	115
"chr12"	76255259	76256259	144
"chr5"	33657767	33658767	68
"chr5"	33658456	33659456	98
"chr19"	41801203	41802203	128
"chr2"	30441128	30442128	80
"chr2"	30415979	30416979	116
"chr6"	89594869	89595869	133
"chr7"	126861498	126862498	197
"chr7"	13024766	13025766	49
"chr2"	5011954	5012954	147
"chr15"	103323304	103324304	89
"chr15"	103339398	103340398	168
"chr12"	76709877	76710877	45
"chr12"	8772186	8773186	70
"chr12"	8771647	8772647	63
"chr12"	8771212	8772212	70
"chr12"	8771212	8772212	70
"chr7"	43443673	43444673	62
"chr7"	43443673	43444673	62
"chr7"	43443218	43444218	202
"chr9"	120570687	120571687	112
"chr18"	67610221	67611221	67
"chr18"	67610221	67611221	67
"chr1"	93801149	93802149	54
"chr2"	25371445	25372445	56
"chr4"	116993690	116994690	202
"chr17"	26123329	26124329	168
"chr18"	74207013	74208013	150
"chr2"	72476178	72477178	150
"chr2"	72476178	72477178	150
"chr4"	126556874	126557874	145
"chr7"	13038097	13039097	45
"chr7"	13037353	13038353	85
"chr17"	24250478	24251478	142
"chr17"	24251227	24252227	49
"chr7"	141447538	141448538	128
"chr7"	141446927	141447927	67
"chr2"	69205402	69206402	160
"chr6"	129350322	129351322	121
"chr6"	129350322	129351322	121
"chr11"	75651426	75652426	93
"chr4"	138262000	138263000	103
"chr4"	138262000	138263000	103
"chr4"	58986276	58987276	98
"chr7"	141391769	141392769	148
"chr2"	84839834	84840834	88
"chr7"	80387258	80388258	83
"chr7"	80386771	80387771	92
"chr8"	122567180	122568180	83
"chr8"	122567739	122568739	125
"chr11"	40732720	40733720	88
"chr4"	154898627	154899627	90
"chr4"	154903974	154904974	69
"chr4"	154904558	154905558	151
"chr8"	105707355	105708355	136
"chr4"	128993699	128994699	50
"chr7"	80114741	80115741	99
"chr7"	80114187	80115187	99
"chr2"	164441252	164442252	39
"chr11"	72549602	72550602	72
"chr9"	107950586	107951586	151
"chr18"	67288238	67289238	48
"chr18"	67289066	67290066	70
"chr18"	67289600	67290600	48
"chr15"	76343140	76344140	110
"chr7"	19714683	19715683	185
"chr1"	171149994	171150994	168
"chr6"	128890016	128891016	106
"chr6"	128890016	128891016	106
"chr3"	98338775	98339775	88
"chr1"	89454511	89455511	91
"chr5"	149228917	149229917	100
"chr5"	149264742	149265742	50
"chr6"	38919003	38920003	51
"chr18"	34372434	34373434	87
"chr18"	34372434	34373434	87
"chr7"	55841936	55842936	123
"chr7"	55841936	55842936	123
"chr7"	44467835	44468835	116
"chr15"	89179789	89180789	69
"chr17"	25941475	25942475	175
"chr17"	12915178	12916178	125
"chr7"	142387324	142388324	87
"chr19"	5365685	5366685	109
"chr13"	49187286	49188286	117
"chr5"	140829708	140830708	115
"chr9"	20651878	20652878	124
"chr1"	157411870	157412870	58
"chr16"	93883788	93884788	153
"chr8"	13159184	13160184	114
"chr6"	66896565	66897565	123
"chr8"	106150182	106151182	92
"chr8"	106149554	106150554	83
"chr2"	27475021	27476021	72
"chr2"	27474305	27475305	49
"chr11"	102924311	102925311	138
"chr9"	106280582	106281582	212
"chr9"	106280582	106281582	212
"chr2"	32236239	32237239	74
"chr17"	25867983	25868983	76
"chr11"	69670541	69671541	169
"chr2"	122610951	122611951	42
"chr15"	73748281	73749281	87
"chr15"	73724673	73725673	40
"chr15"	58933550	58934550	90
"chr5"	136084526	136085526	65
"chr5"	136083825	136084825	98
"chr5"	136083825	136084825	98
"chr4"	119292470	119293470	56
"chr4"	119293036	119294036	110
"chr12"	8499905	8500905	80
"chr12"	8499165	8500165	53
"chr11"	69846458	69847458	143
"chr11"	69846458	69847458	143
"chr11"	69845836	69846836	45
"chr11"	59947819	59948819	159
"chr15"	81925332	81926332	87
"chr10"	86704646	86705646	190
"chr10"	81069876	81070876	118
"chr4"	57141385	57142385	71
"chr4"	57142145	57143145	57
"chr6"	145121642	145122642	44
"chr6"	145122470	145123470	107
"chr2"	174438398	174439398	95
"chr10"	84533707	84534707	44
"chr2"	30048282	30049282	151
"chr10"	80264870	80265870	171
"chr4"	57956199	57957199	101
"chr4"	57955397	57956397	152
"chr7"	19149496	19150496	166
"chr9"	106892056	106893056	98
"chr9"	106891158	106892158	92
"chr13"	54468266	54469266	142
"chr7"	46058688	46059688	69
"chr7"	46033574	46034574	196
"chr6"	116337549	116338549	134
"chr7"	132551250	132552250	103
"chr7"	132575643	132576643	160
"chr2"	30062049	30063049	44
"chr2"	30067265	30068265	91
"chr15"	31600957	31601957	114
"chr15"	31600957	31601957	114
"chr10"	79793329	79794329	104
"chr10"	80053628	80054628	87
"chr6"	72097055	72098055	139
"chr8"	71464652	71465652	123
"chr13"	37433960	37434960	168
"chr13"	37483391	37484391	81
"chr1"	191062814	191063814	137
"chr6"	29215419	29216419	116
"chr7"	16401294	16402294	130
"chr7"	16401948	16402948	37
"chr12"	69158032	69159032	137
"chr11"	69921521	69922521	143
"chr11"	69920084	69921084	127
"chr15"	35937234	35938234	142
"chr1"	93668547	93669547	213
"chr16"	18065819	18066819	152
"chr2"	85036478	85037478	94
"chr10"	80798631	80799631	142
"chr5"	38220292	38221292	120
"chr11"	98907616	98908616	121
"chr17"	26938863	26939863	144
"chr17"	26938463	26939463	99
"chr4"	84884346	84885346	73
"chr19"	24279617	24280617	100
"chr5"	43841079	43842079	83
"chr5"	43807378	43808378	83
"chr9"	65586912	65587912	150
"chr19"	10604690	10605690	78
"chr19"	10605407	10606407	136
"chr17"	24723690	24724690	91
"chr2"	174415637	174416637	145
"chr12"	32060155	32061155	122
"chr12"	32060610	32061610	43
"chr12"	32060155	32061155	122
"chr17"	35058811	35059811	113
"chr5"	124445618	124446618	64
"chr5"	124439709	124440709	212
"chr3"	121427472	121428472	65
"chr3"	121426295	121427295	72
"chr3"	121426833	121427833	72
"chr4"	62524491	62525491	174
"chr10"	128231939	128232939	142
"chr9"	66945278	66946278	121
"chr13"	23555801	23556801	67
"chr19"	9983093	9984093	173
"chr16"	11066071	11067071	78
"chr16"	11066662	11067662	70
"chr7"	25680409	25681409	116
"chr5"	135778801	135779801	40
"chr9"	79759617	79760617	147
"chr9"	79758922	79759922	209
"chr10"	81357346	81358346	76
"chr17"	33684293	33685293	133
"chr11"	96788877	96789877	129
"chr16"	33829634	33830634	67
"chr6"	88897866	88898866	120
"chr9"	118925283	118926283	46
"chr9"	118925782	118926782	38
"chr13"	73327736	73328736	73
"chr11"	4703547	4704547	137
"chr7"	141130989	141131989	180
"chr5"	140419286	140420286	102
"chr5"	140418092	140419092	123
"chr4"	148591468	148592468	101
"chr4"	148591468	148592468	101
"chr6"	124828221	124829221	75
"chr6"	124828787	124829787	82
"chr19"	20390022	20391022	84
"chr11"	114669300	114670300	43
"chr11"	114668497	114669497	141
"chr16"	18392381	18393381	119
"chr7"	98177509	98178509	69
"chr8"	57486326	57487326	140
"chr6"	24527375	24528375	133
"chr6"	24526787	24527787	124
"chr17"	87796328	87797328	64
"chr3"	107895416	107896416	114
"chr10"	127521792	127522792	87
"chr7"	25297252	25298252	116
"chr7"	25297252	25298252	116
"chr14"	65805700	65806700	93
"chr13"	24760733	24761733	69
"chr13"	24761463	24762463	176
"chr17"	56304070	56305070	184
"chr4"	138303752	138304752	52
"chr7"	52005862	52006862	61
"chr7"	52005112	52006112	78
"chr2"	168279951	168280951	46
"chr10"	13007606	13008606	85
"chr10"	13008315	13009315	157
"chr8"	53638103	53639103	72
"chr8"	53638103	53639103	72
"chr4"	144892796	144893796	62
"chr4"	141301260	141302260	134
"chr11"	97415520	97416520	97
"chr11"	97415055	97416055	116
"chr11"	97434656	97435656	101
"chr13"	44981575	44982575	113
"chr13"	45001475	45002475	150
"chr3"	88297048	88298048	227
"chrX"	136171466	136172466	39
"chr5"	75575550	75576550	54
"chr9"	109875766	109876766	90
"chr19"	6084562	6085562	189
"chr19"	6084562	6085562	189
"chr1"	33757178	33758178	73
"chr7"	44547946	44548946	116
"chr18"	35830118	35831118	47
"chr18"	35889672	35890672	60
"chr3"	88579368	88580368	154
"chr3"	88592651	88593651	40
"chr8"	71405700	71406700	105
"chr7"	30729013	30730013	148
"chr7"	25688066	25689066	105
"chr19"	38931151	38932151	49
"chr19"	38930001	38931001	194
"chr8"	123477562	123478562	246
"chr7"	3617163	3618163	191
"chr5"	140388518	140389518	123
"chr2"	119617627	119618627	113
"chr19"	6045602	6046602	118
"chr5"	129020739	129021739	100
"chr6"	52012543	52013543	166
"chr6"	52011813	52012813	84
"chr5"	135187620	135188620	171
"chr5"	135187019	135188019	51
"chr16"	84834162	84835162	70
"chr6"	72389707	72390707	132
"chr1"	153486499	153487499	129
"chr1"	153486499	153487499	129
"chr11"	98682435	98683435	177
"chr11"	98681578	98682578	76
"chr17"	33889907	33890907	69
"chr11"	76945655	76946655	88
"chr11"	76945187	76946187	72
"chr3"	8923180	8924180	94
"chr9"	31210990	31211990	28
"chr9"	31211708	31212708	71
"chr3"	94932655	94933655	59
"chr10"	128082285	128083285	105
"chr10"	128083328	128084328	128
"chr10"	128083328	128084328	128
"chr11"	120484195	120485195	150
"chr14"	13933069	13934069	46
"chr14"	13961176	13962176	73
"chr14"	13901343	13902343	73
"chr14"	13960223	13961223	97
"chr4"	140987004	140988004	82
"chr7"	35554569	35555569	94
"chr11"	55460404	55461404	167
"chr2"	25271274	25272274	56
"chr8"	80492808	80493808	134
"chr8"	80394364	80395364	95
"chr8"	124662354	124663354	84
"chr1"	135687412	135688412	57
"chr1"	135728871	135729871	119
"chr1"	135688039	135689039	66
"chr2"	164497087	164498087	184
"chr7"	48880246	48881246	92
"chr7"	48881392	48882392	57
"chr2"	78869668	78870668	119
"chr9"	90054422	90055422	73
"chr4"	115095496	115096496	56
"chr11"	29373450	29374450	166
"chr11"	29372817	29373817	93
"chr4"	41274583	41275583	95
"chr7"	120842795	120843795	76
"chr7"	120843185	120844185	55
"chr7"	120834806	120835806	66
"chr7"	120835475	120836475	154
"chr4"	133241001	133242001	102
"chr9"	59657007	59658007	39
"chr9"	59655638	59656638	52
"chr9"	59656345	59657345	143
"chr5"	136986977	136987977	172
"chr13"	23684419	23685419	85
"chr6"	67267717	67268717	61
"chr15"	61985504	61986504	71
"chr17"	33824311	33825311	143
"chr2"	73910139	73911139	71
"chr2"	73911163	73912163	62
"chr2"	113848371	113849371	94
"chr2"	113847464	113848464	86
"chrX"	73921169	73922169	39
"chr17"	14960099	14961099	41
"chr10"	127311322	127312322	143
"chr17"	87446089	87447089	133
"chr17"	87445236	87446236	69
"chr12"	116262475	116263475	76
"chr6"	115994743	115995743	161
"chr16"	36070673	36071673	79
"chr2"	26627895	26628895	70
"chr2"	26627895	26628895	70
"chr9"	110130899	110131899	63
"chr9"	110131928	110132928	118
"chr9"	110131235	110132235	63
"chr15"	84191771	84192771	100
"chr15"	84191771	84192771	100
"chr9"	60794360	60795360	78
"chr9"	60794360	60795360	78
"chr9"	57520486	57521486	167
"chr9"	57521422	57522422	40
"chr9"	57521070	57522070	69
"chr4"	52439071	52440071	159
"chr3"	96300394	96301394	74
"chr11"	120086121	120087121	89
"chr11"	95841300	95842300	113
"chr5"	136116469	136117469	161
"chr17"	46031215	46032215	38
"chr17"	46029824	46030824	65
"chr18"	12861633	12862633	60
"chr18"	12941192	12942192	109
"chr5"	114774914	114775914	49
"chr18"	64488503	64489503	133
"chr4"	3678489	3679489	73
"chr4"	3677883	3678883	90
"chr9"	61945795	61946795	117
"chr10"	75061889	75062889	54
"chr5"	115327285	115328285	83
"chr5"	115326339	115327339	98
"chr5"	115326789	115327789	68
"chr5"	115327671	115328671	75
"chr7"	47050268	47051268	144
"chr7"	47050268	47051268	144
"chr4"	43507956	43508956	88
"chr15"	12824531	12825531	154
"chr1"	152624143	152625143	109
"chr17"	27133281	27134281	172
"chr14"	54781143	54782143	63
"chr7"	140881000	140882000	101
"chr8"	123982667	123983667	78
"chr17"	26094787	26095787	155
"chr1"	194939026	194940026	85
"chr4"	130792348	130793348	87
"chr4"	116123209	116124209	105
"chr11"	51605296	51606296	136
"chr11"	51606737	51607737	46
"chr11"	51606011	51607011	99
"chr5"	34949023	34950023	142
"chr5"	34949023	34950023	142
"chr2"	32876003	32877003	59
"chr2"	32875418	32876418	60
"chr15"	82016412	82017412	164
"chr15"	82023061	82024061	144
"chr15"	82022674	82023674	49
"chr5"	136986132	136987132	89
"chr2"	154791181	154792181	92
"chr2"	154791730	154792730	54
"chr2"	154733893	154734893	50
"chr11"	101119901	101120901	80
"chr11"	114889790	114890790	84
"chr1"	172312105	172313105	71
"chr1"	172311371	172312371	47
"chr4"	118620412	118621412	115
"chr11"	8663747	8664747	109
"chr11"	8623857	8624857	56
"chr11"	8663747	8664747	109
"chr1"	167283647	167284647	115
"chr1"	167283647	167284647	115
"chr15"	98934531	98935531	34
"chr15"	98933420	98934420	151
"chr15"	98933420	98934420	151
"chr1"	36691364	36692364	164
"chr8"	47947560	47948560	103
"chr8"	47989537	47990537	72
"chr18"	36725547	36726547	67
"chr11"	70982200	70983200	189
"chr7"	24507201	24508201	92
"chr13"	83524679	83525679	67
"chr13"	83517709	83518709	70
"chr1"	136466177	136467177	118
"chr6"	70792099	70793099	203
"chr6"	70791172	70792172	44
"chr17"	71310645	71311645	47
"chr16"	32179740	32180740	93
"chr19"	44554524	44555524	153
"chr10"	62946640	62947640	195
"chr13"	55361920	55362920	179
"chr17"	34850153	34851153	139
"chr14"	31018090	31019090	153
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr9"	48266689	48267689	108
"chr4"	129189897	129190897	140
"chr4"	129189529	129190529	67
"chr2"	155826128	155827128	151
"chr11"	69661746	69662746	115
"chr11"	51650569	51651569	50
"chr15"	68928582	68929582	53
"chr9"	121995169	121996169	87
"chr6"	138139788	138140788	102
"chr4"	97772470	97773470	220
"chr4"	97757241	97758241	106
"chr2"	26020906	26021906	152
"chr5"	139459794	139460794	216
"chr11"	117809808	117810808	137
"chrX"	7899197	7900197	90
"chr5"	137600730	137601730	146
"chr5"	137600730	137601730	146
"chr2"	119618461	119619461	128
"chr17"	27621800	27622800	83
"chr17"	27623363	27624363	35
"chr17"	27622539	27623539	61
"chr12"	36041250	36042250	68
"chr3"	58525814	58526814	180
"chr6"	91472510	91473510	80
"chr1"	153332201	153333201	66
"chr1"	153331627	153332627	51
"chr17"	34264215	34265215	47
"chr11"	120726652	120727652	78
"chr5"	151650410	151651410	128
"chr5"	151649858	151650858	72
"chr3"	52069346	52070346	79
"chr3"	52103096	52104096	97
"chr3"	52179210	52180210	53
"chr3"	52103988	52104988	111
"chr18"	35661294	35662294	175
"chr10"	62506208	62507208	104
"chr10"	62506992	62507992	100
"chr10"	62507698	62508698	73
"chr4"	124714747	124715747	150
"chr17"	34959160	34960160	85
"chr11"	116004648	116005648	68
"chr11"	116011812	116012812	107
"chr11"	106749526	106750526	78
"chr11"	106749526	106750526	78
"chr17"	57011289	57012289	148
"chr16"	11253164	11254164	102
"chr10"	77032485	77033485	92
"chr4"	132768263	132769263	141
"chr15"	84986929	84987929	125
"chr10"	94688476	94689476	54
"chr15"	34081470	34082470	124
"chr15"	34083011	34084011	73
"chr15"	34081470	34082470	124
"chr11"	72441271	72442271	134
"chr11"	72440610	72441610	198
"chr12"	101975780	101976780	81
"chr12"	101975035	101976035	120
"chr8"	121906410	121907410	66
"chr8"	121906410	121907410	66
"chr1"	93342000	93343000	59
"chr17"	29033082	29034082	168
"chr1"	131910606	131911606	153
"chr2"	152397991	152398991	46
"chr2"	152396873	152397873	69
"chrX"	105078986	105079986	80
"chrX"	105079667	105080667	151
"chr3"	96629722	96630722	166
"chr4"	45798797	45799797	119
"chr12"	70226645	70227645	29
"chr12"	70227038	70228038	91
"chr17"	24469495	24470495	70
"chr6"	126938927	126939927	89
"chr10"	81377680	81378680	78
"chr10"	81378528	81379528	110
"chr11"	32205112	32206112	114
"chr18"	80255703	80256703	106
"chr18"	80255116	80256116	67
"chr6"	85451232	85452232	142
"chr10"	40141050	40142050	90
"chr1"	175880397	175881397	140
"chr5"	23843910	23844910	108
"chr15"	74955496	74956496	94
"chr15"	74955496	74956496	94
"chr6"	136808532	136809532	80
"chr17"	56475609	56476609	117
"chr17"	56475609	56476609	117
"chr17"	56461256	56462256	91
"chr10"	79959848	79960848	165
"chr4"	107367603	107368603	134
"chr6"	73248177	73249177	128
"chr6"	73248177	73249177	128
"chr5"	34636272	34637272	151
"chr11"	34833201	34834201	156
"chr11"	34833201	34834201	156
"chr4"	9668146	9669146	100
"chr7"	79659230	79660230	56
"chr7"	79660034	79661034	118
"chr16"	18876717	18877717	56
"chr10"	75859364	75860364	90
"chr12"	57211176	57212176	62
"chr13"	100785831	100786831	162
"chr2"	158768080	158769080	73
"chr19"	3685693	3686693	136
"chr19"	3685693	3686693	136
"chr1"	191821261	191822261	128
"chr1"	191821261	191822261	128
"chr6"	30401988	30402988	47
"chr6"	30401570	30402570	82
"chr6"	30400843	30401843	127
"chr2"	5844709	5845709	211
"chr15"	25622492	25623492	84
"chr15"	25773650	25774650	127
"chr7"	109703617	109704617	142
"chr7"	109703617	109704617	142
"chr17"	46110628	46111628	134
"chr5"	30906897	30907897	116
"chr13"	54071647	54072647	191
"chr13"	54072128	54073128	73
"chr13"	49652015	49653015	91
"chr2"	32846522	32847522	70
"chr2"	32845793	32846793	62
"chr1"	55088086	55089086	106
"chr1"	55086918	55087918	90
"chr10"	89443126	89444126	124
"chr13"	54589297	54590297	185
"chr12"	112673426	112674426	87
"chr18"	77773788	77774788	143
"chr18"	77766895	77767895	226
"chr18"	77773788	77774788	143
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr17"	74315486	74316486	143
"chr9"	60687461	60688461	205
"chr3"	122245217	122246217	101
