"PeakID (cmd=annotatePeaks.pl clp_cd8_H3K4me3.txt mm10 -size -500,500)",Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
clp_H3K4me3_1_peak_13539,chr6,126848403,126849403,+,301,NA,"intron (NM_025358, intron 1 of 10)","intron (NM_025358, intron 1 of 10)",241,NM_025358,66108,Mm.29939,NM_025358,ENSMUSG00000000399,Ndufa9,1010001N11Rik,NADH:ubiquinone oxidoreductase subunit A9,protein-coding
clp_H3K4me3_1_peak_611,chr1,134962377,134963377,+,300,NA,"intron (NM_026024, intron 1 of 6)","intron (NM_026024, intron 1 of 6)",312,NM_026024,67196,Mm.284587,NM_026024,ENSMUSG00000026429,Ube2t,2700084L22Rik|C80607,ubiquitin-conjugating enzyme E2T,protein-coding
clp_H3K4me3_1_peak_11880,chr5,31452364,31453364,+,298,NA,"intron (NM_001360001, intron 1 of 12)",(TA)n|Simple_repeat|Simple_repeat,428,NM_001360001,269639,Mm.259127,NM_172993,ENSMUSG00000062761,Zfp512,2500002M11Rik|AI450173|D230008H22|Znf512,zinc finger protein 512,protein-coding
clp_H3K4me3_1_peak_237,chr1,58422862,58423862,+,296,NA,"intron (NM_001042634, intron 1 of 12)",CpG,726,NM_001042634,12747,Mm.1761,NM_009905,ENSMUSG00000026034,Clk1,STY,CDC-like kinase 1,protein-coding
clp_H3K4me3_1_peak_4084,chr13,21974192,21975192,+,294,NA,Intergenic,Intergenic,-6489,NM_001162928,195236,Mm.204664,NM_001162928,ENSMUSG00000016982,Pom121l2,Gm24,POM121 membrane glycoprotein-like 2 (rat),protein-coding
clp_H3K4me3_1_peak_854,chr1,171294097,171295097,+,290,NA,"intron (NM_001360931, intron 2 of 6)",CpG,405,NM_001360933,66155,Mm.2815,NM_025388,ENSMUSG00000062963,Ufc1,1110021H02Rik|AA062310|ESTM29,ubiquitin-fold modifier conjugating enzyme 1,protein-coding
clp_H3K4me3_1_peak_1074,chr10,7725909,7726909,+,285,NA,"intron (NM_011835, intron 1 of 10)",RSINE1|SINE|B4,409,NM_011835,23924,Mm.28127,NM_011835,ENSMUSG00000019794,Katna1,-,katanin p60 (ATPase-containing) subunit A1,protein-coding
clp_H3K4me3_1_peak_7654,chr18,60774526,60775526,+,283,NA,"intron (NM_020600, intron 1 of 4)",CpG,430,NM_020600,20044,Mm.43778,NM_020600,ENSMUSG00000024608,Rps14,2600014J02Rik|AL023078,ribosomal protein S14,protein-coding
clp_H3K4me3_1_peak_17038,chrX,150477795,150478795,+,276,NA,Intergenic,Intergenic,-19145,NR_152725,382245,Mm.277309,NM_001164683,ENSMUSG00000041353,Tmem29,2700081K05Rik|6330540D07Rik|CXorf44-like,transmembrane protein 29,protein-coding
clp_H3K4me3_1_peak_17038-2,chrX,150477795,150478795,+,276,NA,Intergenic,Intergenic,-19145,NR_152725,382245,Mm.277309,NM_001164683,ENSMUSG00000041353,Tmem29,2700081K05Rik|6330540D07Rik|CXorf44-like,transmembrane protein 29,protein-coding
clp_H3K4me3_1_peak_7141,chr17,56255873,56256873,+,275,NA,promoter-TSS (NM_010192),promoter-TSS (NM_010192),-420,NM_010192,14154,Mm.290813,NM_010192,ENSMUSG00000043683,Fem1a,AW611390|Fem1aa,feminization 1 homolog a (C. elegans),protein-coding
clp_H3K4me3_1_peak_850,chr1,171270013,171271013,+,273,NA,"intron (NM_020579, intron 1 of 7)",CpG,185,NM_020579,57370,Mm.274011,NM_020579,ENSMUSG00000052423,B4galt3,9530061M23Rik|AA104562|AW125175|ESTM26|ESTM6|R74981,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",protein-coding
clp_H3K4me3_1_peak_4070,chr13,21709839,21710839,+,271,NA,Intergenic,Intergenic,5844,NM_178199,319185,,NM_178199,ENSMUSG00000094338,Hist1h2bl,H2b-291a,"histone cluster 1, H2bl",protein-coding
clp_H3K4me3_1_peak_3900-2,chr12,110485136,110486136,+,268,NA,promoter-TSS (NM_001364206),promoter-TSS (NM_001364206),-161,NM_001364206,26931,Mm.240396,NM_012023,ENSMUSG00000017843,Ppp2r5c,2610043M05Rik|2700063L20Rik|AI060890|AW545884|C85228|D12Bwg0916e,"protein phosphatase 2, regulatory subunit B', gamma",protein-coding
clp_H3K4me3_1_peak_3900,chr12,110485136,110486136,+,268,NA,promoter-TSS (NM_001364206),promoter-TSS (NM_001364206),-161,NM_001364206,26931,Mm.240396,NM_012023,ENSMUSG00000017843,Ppp2r5c,2610043M05Rik|2700063L20Rik|AI060890|AW545884|C85228|D12Bwg0916e,"protein phosphatase 2, regulatory subunit B', gamma",protein-coding
clp_H3K4me3_1_peak_10148,chr3,89730475,89731475,+,267,NA,"intron (NM_001146296, intron 1 of 14)","intron (NM_001146296, intron 1 of 14)",257,NM_019655,56417,Mm.316628,NM_019655,ENSMUSG00000027951,Adar,AV242451|Adar1|Adar1p110|Adar1p150|DRADA|mZaADAR,"adenosine deaminase, RNA-specific",protein-coding
clp_H3K4me3_1_peak_6849,chr17,33358109,33359109,+,264,NA,"intron (NM_207541, intron 1 of 3)",CpG,269,NM_207541,224694,Mm.170029,NM_207541,ENSMUSG00000003929,Zfp81,AA409460|AA409461|C330034P10Rik|D330034E10Rik|Hszfp36|KRAB13|Zfp78,zinc finger protein 81,protein-coding
clp_H3K4me3_1_peak_7138,chr17,56183394,56184394,+,264,NA,promoter-TSS (NM_080837),promoter-TSS (NM_080837),26,NM_080837,28106,Mm.294870,NM_080837,ENSMUSG00000019579,Mydgf,D17Wsu104e|Il25|Ly6elg,myeloid derived growth factor,protein-coding
clp_H3K4me3_1_peak_7892,chr19,5406603,5407603,+,264,NA,"intron (NR_027938, intron 1 of 3)","intron (NR_027938, intron 1 of 3)",288,NR_027938,74931,Mm.388511,NR_015545,ENSMUSG00000086938,4930481A15Rik,-,RIKEN cDNA 4930481A15 gene,ncRNA
clp_H3K4me3_1_peak_12582,chr5,134183427,134184427,+,264,NA,promoter-TSS (NM_001359852),promoter-TSS (NM_001359852),-111,NM_053266,114674,Mm.218744,NM_053266,ENSMUSG00000015942,Gtf2ird2,1700012P16Rik,GTF2I repeat domain containing 2,protein-coding
clp_H3K4me3_1_peak_13579,chr6,131292690,131293690,+,261,NA,promoter-TSS (NM_025564),promoter-TSS (NM_025564),54,NM_001327860,66441,Mm.46623,NM_025564,ENSMUSG00000030188,Magohb,2010012C16Rik|Mago|Magoh|Magoh-rs1,"mago homolog B, exon junction complex core component",protein-coding
clp_H3K4me3_1_peak_13579-2,chr6,131292690,131293690,+,261,NA,promoter-TSS (NM_025564),promoter-TSS (NM_025564),54,NM_001327860,66441,Mm.46623,NM_025564,ENSMUSG00000030188,Magohb,2010012C16Rik|Mago|Magoh|Magoh-rs1,"mago homolog B, exon junction complex core component",protein-coding
clp_H3K4me3_1_peak_11366,chr4,132308804,132309804,+,260,NA,promoter-TSS (NR_034050),promoter-TSS (NR_034050),-161,NR_029412,100310813,Mm.482271,NR_029412,ENSMUSG00000065097,Snora16a,-,"small nucleolar RNA, H/ACA box 16A",snoRNA
clp_H3K4me3_1_peak_4425,chr13,67525422,67526422,+,258,NA,"intron (NM_133228, intron 1 of 3)","intron (NM_133228, intron 1 of 3)",309,NM_133228,170763,Mm.491205,NM_133228,ENSMUSG00000097333,Zfp87,2210039O17Rik|4631412O18Rik|KRAB4|Mzf22|Zfp72,zinc finger protein 87,protein-coding
clp_H3K4me3_1_peak_5666,chr15,81663805,81664805,+,258,NA,"intron (NM_145993, intron 1 of 16)",CpG,416,NM_001289712,214669,Mm.280768,NM_145993,ENSMUSG00000022394,L3mbtl2,4732493N06Rik|M4mbt,L3MBTL2 polycomb repressive complex 1 subunit,protein-coding
clp_H3K4me3_1_peak_4886,chr14,46821243,46822243,+,258,NA,"intron (NM_022023, intron 1 of 6)","intron (NM_022023, intron 1 of 6)",499,NM_022023,63985,Mm.87312,NM_022023,ENSMUSG00000062014,Gmfb,3110001H22Rik|3110001O16Rik|AI851627|C79176|D14Ertd630e,"glia maturation factor, beta",protein-coding
clp_H3K4me3_1_peak_15381-2,chr8,85071591,85072591,+,256,NA,"intron (NM_001039514, intron 1 of 8)",CpG,334,NM_001039514,330817,Mm.193086,NM_201408,ENSMUSG00000060038,Dhps,Dhs,deoxyhypusine synthase,protein-coding
clp_H3K4me3_1_peak_13283,chr6,87887754,87888754,+,256,NA,"intron (NM_201244, intron 1 of 4)",MIR3|SINE|MIR,282,NM_201244,54161,Mm.258785,NM_017477,ENSMUSG00000030058,Copg1,AU019265|BC056168|Copg|D6Ertd71e|D6Wsu16e,"coatomer protein complex, subunit gamma 1",protein-coding
clp_H3K4me3_1_peak_15381,chr8,85071591,85072591,+,256,NA,"intron (NM_001039514, intron 1 of 8)",CpG,334,NM_001039514,330817,Mm.193086,NM_201408,ENSMUSG00000060038,Dhps,Dhs,deoxyhypusine synthase,protein-coding
clp_H3K4me3_1_peak_12085,chr5,73292815,73293815,+,255,NA,"intron (NM_001159887, intron 1 of 7)",(T)n|Simple_repeat|Simple_repeat,521,NM_023429,68095,Mm.247039,NM_023429,ENSMUSG00000029152,Ociad1,6030432N09Rik|AI481327|AW557942|Asrij|B230209J16Rik|BB021357|Emi2|Imi2|OCIA|TPA018,OCIA domain containing 1,protein-coding
clp_H3K4me3_1_peak_10479,chr3,130708600,130709600,+,254,NA,"intron (NM_025509, intron 1 of 3)",CpG,344,NM_025509,66357,Mm.300697,NM_025509,ENSMUSG00000041084,Ostc,2310008M10Rik|5730557H03Rik,oligosaccharyltransferase complex subunit (non-catalytic),protein-coding
clp_H3K4me3_1_peak_10838,chr4,46650078,46651078,+,254,NA,promoter-TSS (NM_198664),promoter-TSS (NM_198664),-379,NM_198664,381605,Mm.331595,NM_198664,ENSMUSG00000039813,Tbc1d2,A630005A06Rik|BC022630|Gm1037|PARIS-1|PARIS1,"TBC1 domain family, member 2",protein-coding
clp_H3K4me3_1_peak_9435,chr2,148672615,148673615,+,253,NA,"intron (NM_019761, intron 1 of 1)","intron (NM_019761, intron 1 of 1)",474,NM_001110159,56488,Mm.34663,NM_019761,ENSMUSG00000036992,Nxt1,1110001N02Rik,NTF2-related export protein 1,protein-coding
clp_H3K4me3_1_peak_3028,chr11,101442369,101443369,+,253,NA,"intron (NM_011289, intron 2 of 4)","intron (NM_011289, intron 2 of 4)",624,NM_011289,19942,Mm.340658,NM_011289,ENSMUSG00000063316,Rpl27,-,ribosomal protein L27,protein-coding
clp_H3K4me3_1_peak_16107,chr9,57835985,57836985,+,253,NA,Intergenic,Intergenic,-2251,NM_019689,56380,Mm.425588,NM_019689,ENSMUSG00000004661,Arid3b,Bdp|Dri2,AT rich interactive domain 3B (BRIGHT-like),protein-coding
clp_H3K4me3_1_peak_13010,chr6,39810073,39811073,+,253,NA,"intron (NM_001010930, intron 1 of 2)","intron (NM_001010930, intron 1 of 2)",363,NM_001010930,14548,Mm.377071,NM_010270,ENSMUSG00000029918,Mrps33,AI841153|CGI-139|Gdap3|MRP-S33|PTD003,mitochondrial ribosomal protein S33,protein-coding
clp_H3K4me3_1_peak_129,chr1,37889636,37890636,+,252,NA,promoter-TSS (NM_027098),promoter-TSS (NM_027098),275,NM_026913,69028,Mm.63984,NM_026913,ENSMUSG00000026088,Mitd1,1500032H18Rik,"MIT, microtubule interacting and transport, domain containing 1",protein-coding
clp_H3K4me3_1_peak_13495,chr6,124711351,124712351,+,251,NA,promoter-TSS (NM_007531),promoter-TSS (NM_007531),327,NM_013536,14791,Mm.6390,NM_013536,ENSMUSG00000004268,Emg1,C2f|Grcc2f,EMG1 N1-specific pseudouridine methyltransferase,protein-coding
clp_H3K4me3_1_peak_13402,chr6,113739992,113740992,+,251,NA,"intron (NM_024206, intron 1 of 8)","intron (NM_024206, intron 1 of 8)",189,NM_024206,110379,Mm.29296,NM_024206,ENSMUSG00000030298,Sec13,1110003H02Rik|Sec13l1|Sec13r,"SEC13 homolog, nuclear pore and COPII coat complex component",protein-coding
clp_H3K4me3_1_peak_1320,chr10,57531595,57532595,+,250,NA,"intron (NM_019760, intron 1 of 8)",CpG,434,NM_019760,56442,Mm.29344,NM_019760,ENSMUSG00000019877,Serinc1,1500011D18Rik|AI315070|AIGP-2|TMS-2|Tde1l|Tde2|Tms2|mKIAA1253,serine incorporator 1,protein-coding
clp_H3K4me3_1_peak_9791,chr3,10350537,10351537,+,250,NA,"intron (NM_025512, intron 1 of 7)","intron (NM_025512, intron 1 of 7)",280,NM_001331015,66361,Mm.371617,NM_025512,ENSMUSG00000039795,Zfand1,2310008M20Rik|AW048890,"zinc finger, AN1-type domain 1",protein-coding
clp_H3K4me3_1_peak_16229,chr9,70012426,70013426,+,248,NA,"5' UTR (NM_001282083, exon 1 of 5)","5' UTR (NM_001282083, exon 1 of 5)",378,NM_001282083,235459,Mm.293117,NM_199151,ENSMUSG00000033543,Gtf2a2,TFIIA-gamma|TfIIg|Tfiia2,"general transcription factor II A, 2",protein-coding
clp_H3K4me3_1_peak_2021,chr11,6199804,6200804,+,247,NA,"5' UTR (NM_001363446, exon 1 of 5)","5' UTR (NM_001363446, exon 1 of 5)",147,NM_001363446,209586,Mm.25321,NM_173748,ENSMUSG00000053838,Nudcd3,AI427847|BC024322|mKIAA1068,NudC domain containing 3,protein-coding
clp_H3K4me3_1_peak_12459,chr5,122391748,122392748,+,246,NA,"intron (NM_019824, intron 1 of 6)","intron (NM_019824, intron 1 of 6)",370,NM_019824,56378,Mm.275942,NM_019824,ENSMUSG00000029465,Arpc3,1110006A04Rik|p21-ARC|p21-Ar|p21Arc,"actin related protein 2/3 complex, subunit 3",protein-coding
clp_H3K4me3_1_peak_6986,chr17,36950869,36951869,+,245,NA,"intron (NM_029632, intron 1 of 2)","intron (NM_029632, intron 1 of 2)",423,NM_029632,76497,Mm.46176,NM_029632,ENSMUSG00000036398,Ppp1r11,1500041B02Rik|AV117883|Hcgv|Tcte5|Tctex-5|Tctex5,"protein phosphatase 1, regulatory inhibitor subunit 11",protein-coding
clp_H3K4me3_1_peak_11472,chr4,135962892,135963892,+,244,NA,promoter-TSS (NM_001356493),promoter-TSS (NM_001356493),-333,NM_001356493,74246,Mm.247946,NM_178389,ENSMUSG00000028671,Gale,2310002A12Rik|AI323962,"galactose-4-epimerase, UDP",protein-coding
clp_H3K4me3_1_peak_11462,chr4,135493829,135494829,+,243,NA,"intron (NM_001361484, intron 1 of 11)","intron (NM_001361484, intron 1 of 11)",249,NM_028995,74552,Mm.26548,NM_028995,ENSMUSG00000028803,Nipal3,9130020G22Rik|AI480660|Npal3,NIPA-like domain containing 3,protein-coding
clp_H3K4me3_1_peak_989,chr1,187214916,187215916,+,242,NA,promoter-TSS (NM_028848),promoter-TSS (NM_028848),30,NM_028848,74717,Mm.250430,NM_028848,ENSMUSG00000026611,Spata17,1700065F16Rik|4930504I07Rik|4930513F16Rik|MSRG-11,spermatogenesis associated 17,protein-coding
clp_H3K4me3_1_peak_16668,chrUn_JH584304,72634,73634,+,241,NA,Intergenic,GSAT_MM|Satellite|Satellite,-13445,NR_003518,66776,Mm.247625,NR_003518,,Pisd-ps3,4933439C20Rik,"phosphatidylserine decarboxylase, pseudogene 3",pseudo
clp_H3K4me3_1_peak_14870,chr7,143829375,143830375,+,240,NA,"intron (NM_007856, intron 1 of 8)","intron (NM_007856, intron 1 of 8)",6708,NM_007856,13360,Mm.249342,NM_007856,ENSMUSG00000058454,Dhcr7,AA409147,7-dehydrocholesterol reductase,protein-coding
clp_H3K4me3_1_peak_8116,chr19,24960799,24961799,+,240,NA,"intron (NM_146097, intron 1 of 14)","intron (NM_146097, intron 1 of 14)",317,NM_146097,226043,Mm.272127,NM_146097,ENSMUSG00000024878,Cbwd1,AV349248|BC018472,COBW domain containing 1,protein-coding
clp_H3K4me3_1_peak_11279,chr4,126752644,126753644,+,239,NA,promoter-TSS (NM_133886),promoter-TSS (NM_133886),285,NM_011986,26562,Mm.206206,NM_011986,ENSMUSG00000028833,Ncdn,AU042419|MMS10-AE|Ms10ae|mKIAA0607|norbin,neurochondrin,protein-coding
clp_H3K4me3_1_peak_12564,chr5,129846742,129847742,+,239,NA,TTS (NM_009838),TTS (NM_009838),252,NM_026445,67902,Mm.103546,NM_026445,ENSMUSG00000025538,Sumf2,2610040F05Rik,sulfatase modifying factor 2,protein-coding
clp_H3K4me3_1_peak_12432,chr5,121204452,121205452,+,239,NA,"intron (NM_011290, intron 1 of 6)",CpG,451,NM_011290,19988,Mm.262021,NM_011290,ENSMUSG00000029614,Rpl6,Taxreb107,ribosomal protein L6,protein-coding
clp_H3K4me3_1_peak_12671,chr5,138154916,138155916,+,238,NA,"intron (NM_019747, intron 1 of 4)",CpG,328,NM_019747,56314,Mm.19274,NM_019747,ENSMUSG00000037007,Zfp113,4732456B05Rik|mKIAA4229,zinc finger protein 113,protein-coding
clp_H3K4me3_1_peak_11383,chr4,132842292,132843292,+,237,NA,"intron (NM_001290725, intron 1 of 6)","intron (NM_001290725, intron 1 of 6)",342,NM_001355199,100336,Mm.105230,NM_146154,ENSMUSG00000028882,Ppp1r8,6330548N22Rik|AU044684|NIPP1,"protein phosphatase 1, regulatory subunit 8",protein-coding
clp_H3K4me3_1_peak_5116,chr14,70350744,70351744,+,237,NA,"intron (NM_144808, intron 1 of 9)",CpG,180,NM_144808,213053,Mm.270647,NM_144808,ENSMUSG00000022094,Slc39a14,FAD-123|ZIP-14|Zip14|fad123,"solute carrier family 39 (zinc transporter), member 14",protein-coding
clp_H3K4me3_1_peak_4428,chr13,67609085,67610085,+,237,NA,"5' UTR (NM_001163246, exon 1 of 4)","5' UTR (NM_001163246, exon 1 of 4)",122,NM_001163246,100416706,Mm.478045,NM_001163246,ENSMUSG00000058093,Zfp729b,AA987127,zinc finger protein 729b,protein-coding
clp_H3K4me3_1_peak_13780,chr7,13053988,13054988,+,237,NA,"5' UTR (NM_145819, exon 1 of 6)","5' UTR (NM_145819, exon 1 of 6)",276,NM_001290453,109889,Mm.10103,NM_145819,ENSMUSG00000030380,Mzf1,Mzf-2|Mzf2|Zfp121|Zfp98|Znf42,myeloid zinc finger 1,protein-coding
clp_H3K4me3_1_peak_5286-2,chr15,8109084,8110084,+,236,NA,"exon (NM_133227, exon 1 of 35)","exon (NM_133227, exon 1 of 35)",271,NM_133227,170762,Mm.295168,NM_133227,ENSMUSG00000022142,Nup155,D930027M19Rik|mKIAA0791,nucleoporin 155,protein-coding
clp_H3K4me3_1_peak_5286,chr15,8109084,8110084,+,236,NA,"exon (NM_133227, exon 1 of 35)","exon (NM_133227, exon 1 of 35)",271,NM_133227,170762,Mm.295168,NM_133227,ENSMUSG00000022142,Nup155,D930027M19Rik|mKIAA0791,nucleoporin 155,protein-coding
clp_H3K4me3_1_peak_13824,chr7,19119709,19120709,+,236,NA,"intron (NM_175530, intron 1 of 1)","intron (NM_175530, intron 1 of 1)",350,NM_175530,243867,Mm.230830,NM_175530,ENSMUSG00000050428,Fbxo46,20D7-FC4|4932704E22Rik|Fbxo34l,F-box protein 46,protein-coding
clp_H3K4me3_1_peak_13473,chr6,121271924,121272924,+,234,NA,Intergenic,ORR1D1|LTR|ERVL-MaLR,26518,NM_011909,24110,Mm.326911,NM_011909,ENSMUSG00000030107,Usp18,1110058H21Rik|AW047653|UBP43|Ubp15,ubiquitin specific peptidase 18,protein-coding
clp_H3K4me3_1_peak_10310,chr3,103020481,103021481,+,234,NA,"intron (NM_144901, intron 1 of 19)",CpG,435,NM_001161854,229663,Mm.277713,NM_144901,ENSMUSG00000068823,Csde1,AA960392|BC016898|D3Jfr1|mKIAA0885|unr,"cold shock domain containing E1, RNA binding",protein-coding
clp_H3K4me3_1_peak_3541,chr12,54794758,54795758,+,233,NA,"intron (NM_026998, intron 2 of 13)",CpG,404,NM_026998,72183,Mm.28240,NM_026998,ENSMUSG00000005656,Snx6,2010006G21Rik|2610032J07Rik|2810425K19Rik|AU018928|C85963,sorting nexin 6,protein-coding
clp_H3K4me3_1_peak_7057,chr17,46782060,46783060,+,233,NA,promoter-TSS (NM_025433),promoter-TSS (NM_025433),96,NM_025433,66229,Mm.218533,NM_025433,ENSMUSG00000063888,Rpl7l1,1500016H10Rik,ribosomal protein L7-like 1,protein-coding
clp_H3K4me3_1_peak_7288,chr17,80553153,80554153,+,232,NA,"intron (NM_001360143, intron 3 of 9)","intron (NM_001360143, intron 3 of 9)",10181,NM_001033443,381113,Mm.329216,NM_001033443,ENSMUSG00000033966,Cdkl4,AU067824|Gm942,cyclin-dependent kinase-like 4,protein-coding
clp_H3K4me3_1_peak_15065,chr8,41416174,41417174,+,232,NA,"intron (NM_013522, intron 1 of 8)","intron (NM_013522, intron 1 of 8)",444,NM_013522,14300,Mm.217312,NM_013522,ENSMUSG00000031590,Frg1,-,FSHD region gene 1,protein-coding
clp_H3K4me3_1_peak_2348,chr11,59208196,59209196,+,230,NA,"intron (NM_024210, intron 1 of 6)",CpG,335,NM_024210,67862,Mm.358708,NM_024210,ENSMUSG00000020441,2310033P09Rik,Mmtag2,RIKEN cDNA 2310033P09 gene,protein-coding
clp_H3K4me3_1_peak_6097,chr16,20301521,20302521,+,230,NA,"intron (NM_001005767, intron 1 of 9)",CpG,341,NM_001005767,381038,Mm.371737,NM_001005767,ENSMUSG00000033918,Parl,D16Ertd607e|PRO2207|PSARL1|PSENIP2|Psarl,"presenilin associated, rhomboid-like",protein-coding
clp_H3K4me3_1_peak_6249,chr16,38562749,38563749,+,230,NA,"intron (NM_026407, intron 1 of 8)","intron (NM_026407, intron 1 of 8)",435,NM_001205287,67846,Mm.310476,NM_026407,ENSMUSG00000002845,Tmem39a,2610033C09Rik,transmembrane protein 39a,protein-coding
clp_H3K4me3_1_peak_1692,chr10,89685412,89686412,+,230,NA,promoter-TSS (NR_130956),promoter-TSS (NR_130956),382,NM_198021,213326,Mm.27651,NM_198021,ENSMUSG00000069539,Scyl2,AU015688|AW536445|BC030932|CVAK104|D10Ertd802e,SCY1-like 2 (S. cerevisiae),protein-coding
clp_H3K4me3_1_peak_4504,chr13,84221973,84222973,+,230,NA,promoter-TSS (NR_138587),promoter-TSS (NR_138587),177,NM_175187,72745,Mm.295063,NM_175187,ENSMUSG00000035762,Tmem161b,2810446P07Rik|AI843389,transmembrane protein 161B,protein-coding
clp_H3K4me3_1_peak_8285,chr19,44135046,44136046,+,229,NA,promoter-TSS (NM_001356578),promoter-TSS (NM_001356578),-90,NM_001356578,72502,Mm.276109,NM_001081077,ENSMUSG00000025200,Cwf19l1,-,"CWF19-like 1, cell cycle control (S. pombe)",protein-coding
clp_H3K4me3_1_peak_13989,chr7,29179678,29180678,+,229,NA,"intron (NM_026545, intron 1 of 6)","intron (NM_026545, intron 1 of 6)",495,NM_026545,57296,Mm.273152,NM_026545,ENSMUSG00000030591,Psmd8,6720456J22Rik|AA407360|AL033291|AL033322|AL033323|C76433,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 8",protein-coding
clp_H3K4me3_1_peak_3799,chr12,87471378,87472378,+,229,NA,"intron (NM_025507, intron 1 of 13)",CpG,421,NM_025507,66354,Mm.271174,NM_025507,ENSMUSG00000021039,Snw1,2310008B08Rik|AW048543|NCoA-62|SKIP|Skiip,SNW domain containing 1,protein-coding
clp_H3K4me3_1_peak_3747,chr12,84285199,84286199,+,229,NA,"intron (NM_001252625, intron 1 of 9)","intron (NM_001252625, intron 1 of 9)",403,NM_001252626,77219,Mm.246127,NM_029880,ENSMUSG00000072946,Ptgr2,1810016I24Rik|9130222H03Rik|9630002F03Rik|AI838763|B830026H24Rik|PGR-2|PRG-2|Zadh1,prostaglandin reductase 2,protein-coding
clp_H3K4me3_1_peak_10289,chr3,97900991,97901991,+,229,NA,"intron (NM_011342, intron 1 of 4)",CpG,264,NM_011342,20333,Mm.2551,NM_011342,ENSMUSG00000027879,Sec22b,4930564D15Rik|AA517334|AI480645|C81333|ERS-24|Sec22l1,"SEC22 homolog B, vesicle trafficking protein",protein-coding
clp_H3K4me3_1_peak_15003,chr8,25993423,25994423,+,229,NA,"intron (NM_029037, intron 1 of 4)","intron (NM_029037, intron 1 of 4)",198,NM_029037,74653,Mm.17631,NM_029037,ENSMUSG00000037251,Pomk,4930444A02Rik|Sgk196,protein-O-mannose kinase,protein-coding
