PeakID (cmd=annotatePeaks.pl clp_nocd8_H3K4me3.txt mm10 -size -500,500)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
clp_H3K4me3_1_peak_13655	chr6	145211019	145212019	+	302	NA	promoter-TSS (NM_177222)	promoter-TSS (NM_177222)	372	NR_155281	67636	Mm.486359	NM_133688	ENSMUSG00000040370	Etfrf1	4930469P12Rik|AL022899|Ghiso|Lyrm5	electron transfer flavoprotein regulatory factor 1	protein-coding
clp_H3K4me3_1_peak_9189	chr2	119028738	119029738	+	297	NA	intron (NM_199310, intron 1 of 3)	intron (NM_199310, intron 1 of 3)	155	NM_199310	269336	Mm.292465	NM_199310	ENSMUSG00000039983	Ccdc32	Gm631	coiled-coil domain containing 32	protein-coding
clp_H3K4me3_1_peak_5517	chr15	75841468	75842468	+	296	NA	promoter-TSS (NM_172121)	promoter-TSS (NM_172121)	-60	NM_172121	223642	Mm.209800	NM_172121	ENSMUSG00000075600	Zc3h3	BC049953|Kiaa0150|Smicl|Zc3hdc3	zinc finger CCCH type containing 3	protein-coding
clp_H3K4me3_1_peak_4418	chr13	67359997	67360997	+	293	NA	promoter-TSS (NM_001038651)	promoter-TSS (NM_001038651)	75	NM_001038651	629016	Mm.440800	NM_001038651	ENSMUSG00000098905	Zfp953	E130120F12Rik	zinc finger protein 953	protein-coding
clp_H3K4me3_1_peak_11285	chr4	127060464	127061464	+	286	NA	intron (NM_001356311, intron 1 of 8)	intron (NM_001356311, intron 1 of 8)	190	NM_001356311	68310	Mm.273806	NM_026670	ENSMUSG00000043872	Zmym1	5830412B09Rik|AW209050	zinc finger, MYM domain containing 1	protein-coding
clp_H3K4me3_1_peak_8692	chr2	30177721	30178721	+	281	NA	intron (NM_172660, intron 1 of 11)	intron (NM_172660, intron 1 of 11)	238	NM_172660	227695	Mm.4449	NM_172660	ENSMUSG00000039660	Spout1	9930028P05|AL033358|CENP-32|D2Wsu81e	SPOUT domain containing methyltransferase 1	protein-coding
clp_H3K4me3_1_peak_13316	chr6	91440528	91441528	+	278	NA	promoter-TSS (NR_045980)	promoter-TSS (NR_045980)	41	NR_038153	69798	Mm.229265	NR_038153	ENSMUSG00000100680	1810044D09Rik	-	RIKEN cDNA 1810044D09 gene	ncRNA
clp_H3K4me3_1_peak_6816	chr17	31657624	31658624	+	277	NA	intron (NM_024187, intron 1 of 7)	CpG	630	NM_024187	108121	Mm.379289	NM_024187	ENSMUSG00000061613	U2af1	2010107D16Rik	U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 1	protein-coding
clp_H3K4me3_1_peak_15133	chr8	64946339	64947339	+	277	NA	promoter-TSS (NM_028427)	promoter-TSS (NM_028427)	-346	NM_028427	73067	Mm.294445	NM_028427	ENSMUSG00000025521	Tmem192	3110005G23Rik	transmembrane protein 192	protein-coding
clp_H3K4me3_1_peak_12863	chr6	13870843	13871843	+	277	NA	promoter-TSS (NR_045995)	promoter-TSS (NR_045995)	175	NM_001352887	66520	Mm.29615	NM_183258		2610001J05Rik	C79299	RIKEN cDNA 2610001J05 gene	protein-coding
clp_H3K4me3_1_peak_8125	chr19	26845198	26846198	+	274	NA	Intergenic	Intergenic	-21791	NR_045306	70942	Mm.411548	NR_045306	ENSMUSG00000093772	4931403E22Rik	-	RIKEN cDNA 4931403E22 gene	ncRNA
clp_H3K4me3_1_peak_10817	chr4	45296810	45297810	+	274	NA	intron (NM_027266, intron 1 of 8)	intron (NM_027266, intron 1 of 8)	142	NM_027266	69934	Mm.46761	NM_027266	ENSMUSG00000035601	Trmt10b	2610042J10Rik|Rg9mtd3|Rnmtd3	tRNA methyltransferase 10B	protein-coding
clp_H3K4me3_1_peak_6271	chr16	44172134	44173134	+	272	NA	promoter-TSS (NM_001029889)	promoter-TSS (NM_001029889)	-763	NM_001029889	207806	Mm.310566	NM_001029889	ENSMUSG00000068284	Usf3	5530400K22Rik|Gm1779|Gm608|mKIAA2018	upstream transcription factor family member 3	protein-coding
clp_H3K4me3_1_peak_7558	chr18	36793649	36794649	+	272	NA	intron (NM_025594, intron 1 of 5)	intron (NM_025594, intron 1 of 5)	226	NM_025594	66492	Mm.251155	NM_025594	ENSMUSG00000001383	Zmat2	2610510D14Rik|2900082I05Rik	zinc finger, matrin type 2	protein-coding
clp_H3K4me3_1_peak_8993	chr2	75981416	75982416	+	270	NA	promoter-TSS (NM_030188)	promoter-TSS (NM_030188)	51	NM_030188	78802	Mm.282339	NM_030188	ENSMUSG00000075271	Ttc30a1	4930506L13Rik	tetratricopeptide repeat domain 30A1	protein-coding
clp_H3K4me3_1_peak_9985	chr3	63963927	63964927	+	268	NA	5' UTR (NM_001272035, exon 1 of 7)	5' UTR (NM_001272035, exon 1 of 7)	306	NM_001331067	11416	Mm.135619	NM_015728	ENSMUSG00000027822	Slc33a1	AI315656|AI788741|Acatn|D630022N01Rik	solute carrier family 33 (acetyl-CoA transporter), member 1	protein-coding
clp_H3K4me3_1_peak_10140	chr3	89411165	89412165	+	267	NA	5' UTR (NM_001362376, exon 1 of 8)	5' UTR (NM_001362376, exon 1 of 8)	216	NM_001362376	319945	Mm.258142	NM_177041	ENSMUSG00000042642	Flad1	A930017E24Rik|Pp591	flavin adenine dinucleotide synthetase 1	protein-coding
clp_H3K4me3_1_peak_1878	chr10	127030057	127031057	+	266	NA	exon (NM_025537, exon 2 of 6)	exon (NM_025537, exon 2 of 6)	257	NM_025537	66399	Mm.29900	NM_025537	ENSMUSG00000040521	Tsfm	2310050B20Rik|9430024O13Rik|EF-TS|EF-Tsmt	Ts translation elongation factor, mitochondrial	protein-coding
clp_H3K4me3_1_peak_3721	chr12	81594189	81595189	+	266	NA	intron (NM_001347386, intron 1 of 8)	intron (NM_001347386, intron 1 of 8)	319	NM_001347384	69792	Mm.279993	NM_027213	ENSMUSG00000002679	Med6	1500012F11Rik|AU019660|AV213303	mediator complex subunit 6	protein-coding
clp_H3K4me3_1_peak_6225	chr16	36874109	36875109	+	266	NA	intron (NM_134111, intron 1 of 5)	intron (NM_134111, intron 1 of 5)	217	NM_134111	106389	Mm.432078	NM_134111	ENSMUSG00000022838	Eaf2	AW048865|FESTA-L|FESTA-S|Festa|Traits|U19	ELL associated factor 2	protein-coding
clp_H3K4me3_1_peak_2901	chr11	97029597	97030597	+	265	NA	intron (NM_146027, intron 1 of 7)	intron (NM_146027, intron 1 of 7)	145	NM_146027	217140	Mm.46189	NM_146027	ENSMUSG00000020877	Scrn2	AV001119|D11Moh48|SES2	secernin 2	protein-coding
clp_H3K4me3_1_peak_10205	chr3	95041746	95042746	+	264	NA	intron (NM_001282017, intron 1 of 9)	intron (NM_001282017, intron 1 of 9)	368	NM_008951	19185	Mm.2261	NM_008951	ENSMUSG00000005625	Psmd4	Af1|Mcb1|angiocidin	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	protein-coding
clp_H3K4me3_1_peak_8953	chr2	71453172	71454172	+	263	NA	intron (NM_025633, intron 1 of 9)	intron (NM_025633, intron 1 of 9)	334	NM_025633	66559	Mm.152796	NM_025633	ENSMUSG00000041921	Metap1d	2310066F24Rik|3110033D18Rik|AV117938|MAP 1D|Map1d|MetAP 1D|Metapl1	methionyl aminopeptidase type 1D (mitochondrial)	protein-coding
clp_H3K4me3_1_peak_2684	chr11	79961608	79962608	+	263	NA	intron (NM_144826, intron 1 of 18)	intron (NM_144826, intron 1 of 18)	279	NM_144826	216987	Mm.274961	NM_144826	ENSMUSG00000035575	Utp6	4732497O03Rik|HCA66	UTP6 small subunit processome component	protein-coding
clp_H3K4me3_1_peak_6353	chr16	64873084	64874084	+	261	NA	Intergenic	Intergenic	21583	NM_178647	106143	Mm.10160	NM_178647	ENSMUSG00000054604	Cggbp1	AA960172|AL023996|AW045841	CGG triplet repeat binding protein 1	protein-coding
clp_H3K4me3_1_peak_12643	chr5	137045315	137046315	+	261	NA	intron (NM_007457, intron 1 of 4)	intron (NM_007457, intron 1 of 4)	293	NM_007457	11769	Mm.833	NM_007457	ENSMUSG00000004849	Ap1s1	AP19	adaptor protein complex AP-1, sigma 1	protein-coding
clp_H3K4me3_1_peak_11048	chr4	106678150	106679150	+	261	NA	promoter-TSS (NM_001172073)	promoter-TSS (NM_001172073)	36	NM_001172073	72354	Mm.25806	NM_028209	ENSMUSG00000025413	Ttc4	2810002P21Rik|AF007005|L62	tetratricopeptide repeat domain 4	protein-coding
clp_H3K4me3_1_peak_5028	chr14	59597499	59598499	+	260	NA	promoter-TSS (NM_001168536)	promoter-TSS (NM_001168536)	-40	NM_001168536	71891	Mm.439850	NM_027986	ENSMUSG00000021982	Cdadc1	2310010M10Rik|AI449174|AI463398|BB130816|NYD-SP15	cytidine and dCMP deaminase domain containing 1	protein-coding
clp_H3K4me3_1_peak_13206	chr6	83114745	83115745	+	260	NA	promoter-TSS (NM_020619)	promoter-TSS (NM_020619)	-261	NM_020619	57377	Mm.28188	NM_020619	ENSMUSG00000030036	Mogs	1810017N02Rik|AI181835|Gcs1	mannosyl-oligosaccharide glucosidase	protein-coding
clp_H3K4me3_1_peak_6552	chr17	14942746	14943746	+	259	NA	promoter-TSS (NM_001083881)	promoter-TSS (NM_001083881)	62	NM_026451	67912	Mm.390949	NM_026451	ENSMUSG00000050088	1600012H06Rik	-	RIKEN cDNA 1600012H06 gene	protein-coding
clp_H3K4me3_1_peak_3991	chr13	3892666	3893666	+	259	NA	intron (NM_019671, intron 3 of 11)	intron (NM_019671, intron 3 of 11)	415	NM_001047159	56349	Mm.22261	NM_019671	ENSMUSG00000021215	Net1	Net1a|mNET1	neuroepithelial cell transforming gene 1	protein-coding
clp_H3K4me3_1_peak_6552-2	chr17	14942746	14943746	+	259	NA	promoter-TSS (NM_001083881)	promoter-TSS (NM_001083881)	62	NM_026451	67912	Mm.390949	NM_026451	ENSMUSG00000050088	1600012H06Rik	-	RIKEN cDNA 1600012H06 gene	protein-coding
clp_H3K4me3_1_peak_2390	chr11	60830504	60831504	+	259	NA	intron (NM_001172112, intron 1 of 6)	intron (NM_001172112, intron 1 of 6)	373	NM_145428	216820	Mm.21475	NM_145428	ENSMUSG00000042569	Dhrs7b	BC003479|C79874|C80074|PexRAP	dehydrogenase/reductase (SDR family) member 7B	protein-coding
clp_H3K4me3_1_peak_8537	chr2	19371319	19372319	+	258	NA	intron (NM_029619, intron 1 of 4)	CpG	183	NM_029619	76467	Mm.27166	NM_029619	ENSMUSG00000023094	Msrb2	2310050L06Rik|Mrsb|Msrb|Pilb	methionine sulfoxide reductase B2	protein-coding
clp_H3K4me3_1_peak_9646	chr2	167063124	167064124	+	258	NA	promoter-TSS (NM_001033196)	promoter-TSS (NM_001033196)	-609	NM_001033196	98999	Mm.297074	NM_001033196	ENSMUSG00000039501	Znfx1	AI481105|Astx3	zinc finger, NFX1-type containing 1	protein-coding
clp_H3K4me3_1_peak_15348	chr8	84248971	84249971	+	258	NA	intron (NM_001007571, intron 2 of 2)	CpG	290	NM_001007571	101966	Mm.200723	NM_001007571	ENSMUSG00000019362	D8Ertd738e	AA589584	DNA segment, Chr 8, ERATO Doi 738, expressed	protein-coding
clp_H3K4me3_1_peak_16344	chr9	88521927	88522927	+	257	NA	intron (NR_040721, intron 1 of 4)	intron (NR_040721, intron 1 of 4)	470	NR_040721	72655	Mm.21798	NR_040721	ENSMUSG00000097195	Snhg5	2810026P18Rik|4933428I09Rik|mU50HG-b	small nucleolar RNA host gene 5	ncRNA
clp_H3K4me3_1_peak_362	chr1	75521174	75522174	+	256	NA	intron (NM_027886, intron 1 of 24)	CpG	145	NM_027886	71728	Mm.312650	NM_027886	ENSMUSG00000026213	Stk11ip	1200014D22Rik|BB131189|LIP1|LKB1IP	serine/threonine kinase 11 interacting protein	protein-coding
clp_H3K4me3_1_peak_14359	chr7	82648309	82649309	+	256	NA	promoter-TSS (NM_177894)	promoter-TSS (NM_177894)	195	NM_175317	101592	Mm.238020	NM_175317	ENSMUSG00000038563	Efl1	4932434J20Rik|6030468D11Rik|AI451340|AU019507|AU022896|D7Ertd791e|Eftud1	elongation factor like GTPase 1	protein-coding
clp_H3K4me3_1_peak_7457	chr18	24120901	24121901	+	254	NA	intron (NM_172625, intron 1 of 4)	intron (NM_172625, intron 1 of 4)	418	NM_172625	225280	Mm.258973	NM_172625	ENSMUSG00000047989	Ino80c	D030070L09Rik	INO80 complex subunit C	protein-coding
clp_H3K4me3_1_peak_4052	chr13	21199666	21200666	+	254	NA	Intergenic	Intergenic	20235	NM_009054	19720	Mm.314056	NM_009054	ENSMUSG00000021326	Trim27	AW538890|Gm19403|Rfp	tripartite motif-containing 27	protein-coding
clp_H3K4me3_1_peak_12183	chr5	96209928	96210928	+	254	NA	intron (NM_001039084, intron 1 of 6)	intron (NM_001039084, intron 1 of 6)	313	NM_001039084	94061	Mm.295499	NM_053158	ENSMUSG00000029486	Mrpl1	2410002L03Rik|5830418D04Rik|AI462572|L1mt	mitochondrial ribosomal protein L1	protein-coding
clp_H3K4me3_1_peak_4052-2	chr13	21199666	21200666	+	254	NA	Intergenic	Intergenic	20235	NM_009054	19720	Mm.314056	NM_009054	ENSMUSG00000021326	Trim27	AW538890|Gm19403|Rfp	tripartite motif-containing 27	protein-coding
clp_H3K4me3_1_peak_3120	chr11	106500694	106501694	+	253	NA	TTS (NR_030703)	TTS (NR_030703)	203	NR_030703	100216537		NR_030703	ENSMUSG00000065126	Snord104	-	small nucleolar RNA, C/D box 104	snoRNA
clp_H3K4me3_1_peak_507	chr1	106759604	106760604	+	253	NA	promoter-TSS (NM_027534)	promoter-TSS (NM_027534)	-362	NM_027534	70750	Mm.458911	NM_027534	ENSMUSG00000009905	Kdsr	6330410P18Rik|9430079B08Rik|Fvt1	3-ketodihydrosphingosine reductase	protein-coding
clp_H3K4me3_1_peak_5613	chr15	79658423	79659423	+	253	NA	promoter-TSS (NM_029407)	promoter-TSS (NM_029407)	33	NM_029407	75729	Mm.78946	NM_029407	ENSMUSG00000042564	Fam227a	4933432B09Rik	family with sequence similarity 227, member A	protein-coding
clp_H3K4me3_1_peak_11420	chr4	134000104	134001104	+	252	NA	intron (NM_001362962, intron 1 of 8)	intron (NM_001362962, intron 1 of 8)	278	NM_001362959	67422	Mm.100290	NM_026144	ENSMUSG00000012117	Dhdds	3222401G21Rik|CIT|DS|HDS|W91638|cis-IPTase	dehydrodolichyl diphosphate synthase	protein-coding
clp_H3K4me3_1_peak_6180	chr16	32247010	32248010	+	252	NA	promoter-TSS (NM_173439)	promoter-TSS (NM_173439)	257	NM_026898	68980	Mm.159860	NM_026898	ENSMUSG00000022787	Wdr53	1500002B03Rik|AI848860	WD repeat domain 53	protein-coding
clp_H3K4me3_1_peak_11576	chr4	147847941	147848941	+	252	NA	promoter-TSS (NM_198619)	promoter-TSS (NM_198619)	-23	NM_198619	242747	Mm.332053	NM_198619	ENSMUSG00000059423	Zfp933	2810408P10Rik	zinc finger protein 933	protein-coding
clp_H3K4me3_1_peak_5104	chr14	69732584	69733584	+	250	NA	promoter-TSS (NM_134078)	promoter-TSS (NM_134078)	250	NR_130157	75016	Mm.394574	NR_130157	ENSMUSG00000097284	4930480K23Rik	-	RIKEN cDNA 4930480K23 gene	ncRNA
clp_H3K4me3_1_peak_14398	chr7	92740548	92741548	+	249	NA	promoter-TSS (NM_029494)	promoter-TSS (NM_029494)	411	NR_015510	666737	Mm.473620	NR_015510	ENSMUSG00000074024	4632427E13Rik	AU015482	RIKEN cDNA 4632427E13 gene	ncRNA
clp_H3K4me3_1_peak_1955	chr10	128821703	128822703	+	249	NA	promoter-TSS (NR_152853)	promoter-TSS (NR_152853)	439	NM_001359405	66118	Mm.235562	NM_025364	ENSMUSG00000078427	Sarnp	1110005A23Rik|Cip29	SAP domain containing ribonucleoprotein	protein-coding
clp_H3K4me3_1_peak_8970	chr2	73312385	73313385	+	248	NA	promoter-TSS (NM_025854)	promoter-TSS (NM_025854)	233	NM_029022	74616	Mm.247457	NM_029022	ENSMUSG00000008226	Scrn3	4833415E20Rik|AI427019|AV002033|Ses3	secernin 3	protein-coding
clp_H3K4me3_1_peak_15610	chr8	117157035	117158035	+	248	NA	promoter-TSS (NM_001081151)	promoter-TSS (NM_001081151)	-446	NM_001081151	209239	Mm.132992	NM_001081151	ENSMUSG00000052557	Gan	A330045G18|gigaxonin	giant axonal neuropathy	protein-coding
clp_H3K4me3_1_peak_7500	chr18	34330739	34331739	+	247	NA	promoter-TSS (NM_025527)	promoter-TSS (NM_025527)	94	NM_025527	66384	Mm.29452	NM_025527	ENSMUSG00000014504	Srp19	2310020D23Rik	signal recognition particle 19	protein-coding
clp_H3K4me3_1_peak_14115	chr7	43579364	43580364	+	247	NA	intron (NM_001357769, intron 1 of 3)	intron (NM_001357769, intron 1 of 3)	278	NM_172482	210105	Mm.234422	NM_172482	ENSMUSG00000030469	Zfp719	8030458J18|9430094P17Rik|C630016O21Rik|mszf6	zinc finger protein 719	protein-coding
clp_H3K4me3_1_peak_4367	chr13	59584445	59585445	+	247	NA	promoter-TSS (NM_030153)	promoter-TSS (NM_030153)	278	NR_045633	319469	Mm.437992	NR_045633	ENSMUSG00000021557	A230056J06Rik	-	RIKEN cDNA A230056J06 gene	ncRNA
clp_H3K4me3_1_peak_16616-2	chr9	120127727	120128727	+	246	NA	intron (NM_011029, intron 1 of 6)	intron (NM_011029, intron 1 of 6)	461	NM_011029	16785	Mm.4071	NM_011029	ENSMUSG00000032518	Rpsa	67kDa|67lr|AL022858|Lamr|Lamr1|Lamrl1|MLR|P40|P40-3|P40-8	ribosomal protein SA	protein-coding
clp_H3K4me3_1_peak_16616	chr9	120127727	120128727	+	246	NA	intron (NM_011029, intron 1 of 6)	intron (NM_011029, intron 1 of 6)	461	NM_011029	16785	Mm.4071	NM_011029	ENSMUSG00000032518	Rpsa	67kDa|67lr|AL022858|Lamr|Lamr1|Lamrl1|MLR|P40|P40-3|P40-8	ribosomal protein SA	protein-coding
clp_H3K4me3_1_peak_15691	chr8	123477562	123478562	+	246	NA	intron (NR_028260, intron 1 of 15)	CpG	200	NM_054070	114896	Mm.287475	NM_054070	ENSMUSG00000031967	Afg3l1	1700047G05Rik|3110061K15Rik	AFG3-like AAA ATPase 1	protein-coding
clp_H3K4me3_1_peak_11288	chr4	127243579	127244579	+	245	NA	intron (NM_030252, intron 1 of 1)	CpG	295	NM_030252	80284	Mm.139607	NM_030252	ENSMUSG00000042380	Smim12	BC003266	small integral membrane protein 12	protein-coding
clp_H3K4me3_1_peak_523	chr1	120120996	120121996	+	245	NA	promoter-TSS (NM_007830)	promoter-TSS (NM_007830)	309	NM_001172074	73103	Mm.271602	NM_028439	ENSMUSG00000026388	3110009E18Rik	-	RIKEN cDNA 3110009E18 gene	protein-coding
clp_H3K4me3_1_peak_11596	chr4	148900910	148901910	+	245	NA	intron (NM_027195, intron 3 of 15)	CpG	12063	NR_161310	69743	Mm.233879	NM_027195	ENSMUSG00000028977	Casz1	2410019P08Rik|AV096627|BC040081|Cst|D4Ertd432e	castor zinc finger 1	protein-coding
clp_H3K4me3_1_peak_1636	chr10	82622874	82623874	+	245	NA	promoter-TSS (NM_001135568)	promoter-TSS (NM_001135568)	-146	NM_001135568	544717	Mm.334867	NM_001135567	ENSMUSG00000063320	1190007I07Rik	-	RIKEN cDNA 1190007I07 gene	protein-coding
clp_H3K4me3_1_peak_2309	chr11	54955530	54956530	+	244	NA	5' UTR (NM_001199275, exon 2 of 19)	5' UTR (NM_001199275, exon 2 of 19)	6910	NM_001271456	57783	Mm.259671	NM_021327	ENSMUSG00000020400	Tnip1	ABIN|ABIN-1|ABIN1|AU018810|Naf1|Nef|VAN	TNFAIP3 interacting protein 1	protein-coding
clp_H3K4me3_1_peak_14494	chr7	104352454	104353454	+	244	NA	intron (NM_175677, intron 1 of 7)	intron (NM_175677, intron 1 of 7)	395	NM_175677	319236	Mm.425502	NM_175677	ENSMUSG00000057143	Trim12c	9230105E10Rik|Trim12-2	tripartite motif-containing 12C	protein-coding
clp_H3K4me3_1_peak_13509	chr6	124903491	124904491	+	243	NA	TTS (NM_008479)	TTS (NM_008479)	7714	NM_008479	16768	Mm.4528	NM_008479	ENSMUSG00000030124	Lag3	CD223|LAG-3|Ly66	lymphocyte-activation gene 3	protein-coding
clp_H3K4me3_1_peak_7510	chr18	34650828	34651828	+	243	NA	intron (NM_178347, intron 2 of 15)	intron (NM_178347, intron 2 of 15)	408	NM_178347	52563	Mm.196638	NM_178347	ENSMUSG00000024370	Cdc23	6030435O18|D18Ertd243e	CDC23 cell division cycle 23	protein-coding
clp_H3K4me3_1_peak_447	chr1	91458529	91459529	+	243	NA	intron (NM_011066, intron 1 of 22)	CpG	299	NM_011066	18627	Mm.482463	NM_011066	ENSMUSG00000055866	Per2	mKIAA0347|mPer2	period circadian clock 2	protein-coding
clp_H3K4me3_1_peak_4522	chr13	92483445	92484445	+	243	NA	promoter-TSS (NM_001163627)	promoter-TSS (NM_001163627)	86	NM_001163627	73942	Mm.85935	NM_001163627	ENSMUSG00000034334	Fam151b	4930405M20Rik	family with sequence similarity 151, member B	protein-coding
clp_H3K4me3_1_peak_5081	chr14	65592283	65593283	+	242	NA	intron (NM_028811, intron 1 of 14)	intron (NM_028811, intron 1 of 14)	329	NR_045599	74195	Mm.29719	NM_028811	ENSMUSG00000022031	Elp3	2610507P14Rik|KAT9	elongator acetyltransferase complex subunit 3	protein-coding
clp_H3K4me3_1_peak_210	chr1	54438191	54439191	+	242	NA	intron (NM_001033194, intron 1 of 17)	intron (NM_001033194, intron 1 of 17)	335	NM_001033194	98488	Mm.25856	NM_001033194	ENSMUSG00000041303	Gtf3c3	TF3C-gamma|TFIIIC102	general transcription factor IIIC, polypeptide 3	protein-coding
clp_H3K4me3_1_peak_544	chr1	128416404	128417404	+	241	NA	intron (NM_145507, intron 1 of 3)	CpG	512	NM_177445	226414	Mm.28693	NM_145507	ENSMUSG00000026356	Dars	5730439G15Rik	aspartyl-tRNA synthetase	protein-coding
clp_H3K4me3_1_peak_14817	chr7	141122922	141123922	+	241	NA	Intergenic	Intergenic	-5616	NM_178381	71345	Mm.235813	NM_178381	ENSMUSG00000054662	Ano9	5430425C04Rik|Tmem16j|Tp53i5|Trp53i5	anoctamin 9	protein-coding
clp_H3K4me3_1_peak_4954	chr14	54605416	54606416	+	241	NA	promoter-TSS (NM_028890)	promoter-TSS (NM_028890)	-8	NM_028890	74359	Mm.79815	NM_028890	ENSMUSG00000022179	4931414P19Rik	Rtfc	RIKEN cDNA 4931414P19 gene	protein-coding
clp_H3K4me3_1_peak_15507	chr8	105880636	105881636	+	240	NA	TTS (NM_026532)	TTS (NM_026532)	255	NM_181594	234699	Mm.28979	NM_181594	ENSMUSG00000036270	Edc4	BC022641	enhancer of mRNA decapping 4	protein-coding
clp_H3K4me3_1_peak_13948	chr7	27978754	27979754	+	240	NA	promoter-TSS (NM_001081021)	promoter-TSS (NM_001081021)	-97	NM_001081021	338354	Mm.389873	NM_001081021	ENSMUSG00000063047	Zfp780b	B230208L21Rik	zinc finger protein 780B	protein-coding
clp_H3K4me3_1_peak_3704	chr12	80167987	80168987	+	240	NA	intron (NM_134156, intron 20 of 20)	CpG	-35643	NR_033514	69548	Mm.269712	NR_033514		2310015A10Rik	5330419I17Rik	RIKEN cDNA 2310015A10 gene	ncRNA
clp_H3K4me3_1_peak_2775	chr11	86806915	86807915	+	239	NA	intron (NM_026191, intron 1 of 17)	CpG	245	NM_026191	67487	Mm.260627	NM_026191	ENSMUSG00000018425	Dhx40	2410016C14Rik|ARG147|DDX40|PAD	DEAH (Asp-Glu-Ala-His) box polypeptide 40	protein-coding
clp_H3K4me3_1_peak_8624-2	chr2	26639336	26640336	+	239	NA	promoter-TSS (NR_028571)	promoter-TSS (NR_028571)	408	NR_024068	72091	Mm.27103	NR_024068		Snhg7	2610002F03Rik|AI427062	small nucleolar RNA host gene 7	ncRNA
